Date,High,Low,Close,Open,Volume,Close.adj
2019/4/02,135.08,132.11,132.62,134.87,3128776,132.62
2019/4/03,132.40,129.55,131.65,132.40,3332206,131.65
2019/4/04,133.06,129.71,130.81,130.81,2419024,130.81
2019/4/08,131.79,127.43,128.10,131.75,3688653,128.10
2019/4/09,129.61,127.21,129.27,127.21,2048966,129.27
2019/4/10,131.56,127.64,129.60,130.00,3705340,129.60
2019/4/11,129.98,127.15,128.11,129.61,2516269,128.11
2019/4/12,129.62,127.43,128.43,128.11,1683920,128.43
2019/4/15,129.58,124.53,124.74,128.95,3440734,124.74
2019/4/16,125.95,122.66,125.24,124.83,2355356,125.24
2019/4/17,127.95,125.54,126.90,125.54,1723327,126.90
2019/4/18,127.13,126.04,126.14,126.73,912730,126.14
2019/4/19,127.52,123.71,127.04,125.66,1812976,127.04
2019/4/22,128.22,125.44,127.13,126.99,1361592,127.13
2019/4/23,131.54,126.93,130.16,127.26,3417965,130.16
2019/4/24,131.68,129.12,131.00,130.81,1858387,131.00
2019/4/25,137.05,130.51,133.17,131.00,4265077,133.17
2019/4/26,136.94,131.80,134.89,132.59,3094101,134.89
2019/4/29,144.03,134.90,139.99,134.90,4673378,139.99
2019/4/30,143.02,138.16,139.88,139.55,2503719,139.88
2019/5/06,135.07,130.11,132.59,133.59,4618877,132.59
2019/5/07,139.65,134.03,135.33,134.03,3607156,135.33
2019/5/08,141.10,131.10,138.45,131.60,3615518,138.45
2019/5/09,139.54,134.94,135.19,137.95,2624782,135.19
2019/5/10,144.53,136.07,143.52,137.86,3738223,143.52
2019/5/13,148.98,141.61,146.63,141.73,2798424,146.63
2019/5/14,146.31,141.67,142.78,144.32,3069694,142.78
2019/5/15,143.22,139.19,142.23,142.63,3008139,142.23
2019/5/16,142.01,138.36,140.74,142.01,2572124,140.74
2019/5/17,143.51,136.87,138.24,140.04,2329147,138.24
2019/5/20,139.04,133.29,136.17,139.04,2312487,136.17
2019/5/21,142.35,136.10,141.81,137.16,2525745,141.81
2019/5/22,142.63,139.56,140.56,141.05,1172710,140.56
2019/5/23,140.54,138.53,138.85,140.54,964350,138.85
2019/5/24,140.69,137.34,138.74,139.10,1323740,138.74
2019/5/27,142.98,138.06,142.65,139.08,1452692,142.65
