"","Point.Forecast","Lo.99.5","Hi.99.5"
" 66268801",20.3795778445953,-112.649880091632,153.409035780822
" 66355201",20.3795778445953,-112.853975362281,153.613131051471
" 66441601",20.3795778445953,-113.057758465197,153.816914154387
" 66528001",20.3795778445953,-113.261230828413,154.020386517603
" 66614401",20.3795778445953,-113.464393869108,154.223549558299
" 66700801",20.3795778445953,-113.667248993722,154.426404682912
" 66787201",20.3795778445953,-113.869797598066,154.628953287257
" 66873601",20.3795778445953,-114.072041067442,154.831196756633
" 66960001",20.3795778445953,-114.273980776746,155.033136465936
" 67046401",20.3795778445953,-114.475618090578,155.234773779769
" 67132801",20.3795778445953,-114.676954363355,155.436110052545
" 67219201",20.3795778445953,-114.877990939411,155.637146628601
" 67305601",20.3795778445953,-115.078729153105,155.837884842295
" 67392001",20.3795778445953,-115.279170328924,156.038326018114
" 67478401",20.3795778445953,-115.479315781583,156.238471470774
" 67564801",20.3795778445953,-115.67916681613,156.43832250532
" 67651201",20.3795778445953,-115.878724728038,156.637880417229
" 67737601",20.3795778445953,-116.077990803312,156.837146492503
" 67824001",20.3795778445953,-116.276966318579,157.036122007769
" 67910401",20.3795778445953,-116.475652541183,157.234808230374
" 67996801",20.3795778445953,-116.674050729287,157.433206418477
" 68083201",20.3795778445953,-116.872162131955,157.631317821146
" 68169601",20.3795778445953,-117.069987989254,157.829143678445
" 68256001",20.3795778445953,-117.267529532337,158.026685221528
" 68342401",20.3795778445953,-117.464787983537,158.223943672727
" 68428801",20.3795778445953,-117.661764556451,158.420920245642
" 68515201",20.3795778445953,-117.858460456033,158.617616145224
" 68601601",20.3795778445953,-118.054876878675,158.814032567865
" 68688001",20.3795778445953,-118.251015012292,159.010170701483
" 68774401",20.3795778445953,-118.446876036411,159.206031725602
" 68860801",20.3795778445953,-118.642461122247,159.401616811438
" 68947201",20.3795778445953,-118.837771432789,159.59692712198
" 69033601",20.3795778445953,-119.03280812288,159.791963812071
" 69120001",20.3795778445953,-119.227572339295,159.986728028486
" 69206401",20.3795778445953,-119.422065220822,160.181220910013
" 69292801",20.3795778445953,-119.616287898338,160.375443587529
" 69379201",20.3795778445953,-119.810241494887,160.569397184077
" 69465601",20.3795778445953,-120.003927125752,160.763082814943
" 69552001",20.3795778445953,-120.197345898538,160.956501587729
" 69638401",20.3795778445953,-120.390498913236,161.149654602427
" 69724801",20.3795778445953,-120.583387262304,161.342542951494
" 69811201",20.3795778445953,-120.776012030733,161.535167719924
" 69897601",20.3795778445953,-120.968374296124,161.727529985314
" 69984001",20.3795778445953,-121.160475128752,161.919630817943
" 70070401",20.3795778445953,-121.352315591642,162.111471280833
" 70156801",20.3795778445953,-121.543896740634,162.303052429824
" 70243201",20.3795778445953,-121.735219624448,162.494375313639
" 70329601",20.3795778445953,-121.926285284758,162.685440973949
" 70416001",20.3795778445953,-122.117094756253,162.876250445443
" 70502401",20.3795778445953,-122.307649066703,163.066804755894
" 70588801",20.3795778445953,-122.497949237026,163.257104926217
" 70675201",20.3795778445953,-122.687996281349,163.447151970539
" 70761601",20.3795778445953,-122.877791207072,163.636946896262
" 70848001",20.3795778445953,-123.067335014931,163.826490704122
" 70934401",20.3795778445953,-123.25662869906,164.015784388251
" 71020801",20.3795778445953,-123.44567324705,164.20482893624
" 71107201",20.3795778445953,-123.634469640009,164.393625329199
" 71193601",20.3795778445953,-123.823018852624,164.582174541814
" 71280001",20.3795778445953,-124.011321853218,164.770477542408
